Categoria A,Categoria B,Pearson (r),Pearson (p),Spearman (ρ),Spearman (p),Correlação Absoluta
"transporte, Uber/Táxi, ônibus",Cinema,0.3202319198834126,0.0054109488571364,0.39822676245535393,0.0004415937971572319,0.3202319198834126
Saúde,Livros,0.3085392317168756,0.007482749210315047,0.037775518691372856,0.7493177663246378,0.3085392317168756
Cinema,Aparência,0.3036114677630282,0.008546333800164979,0.1746497910002166,0.13667677468534478,0.3036114677630282
Gás,HQ,-0.29588040521406206,0.010481892104559177,-0.4543265383333874,4.781499870907021e-05,0.29588040521406206
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Livros,0.2926474750174493,0.011398227045625079,0.07594329053221434,0.5201614643193782,0.2926474750174493
luz,"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",0.27664223195263193,0.017031859870465276,0.41682180591101553,0.0002205511817888567,0.27664223195263193
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Aparência,0.26964427703447136,0.020163582821825184,0.22549910282053723,0.053390119104427536,0.26964427703447136
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",supermercado,0.2665309153145429,0.0217076886451294,0.32974176006442096,0.004118228943533947,0.2665309153145429
Saúde,Internet,-0.2641037232749557,0.022980340884465805,-0.5853248404376283,4.3200392039441734e-08,0.2641037232749557
supermercado,Doações/Presentes,0.2615258918925964,0.024400898600196223,0.054965491535829615,0.6418361287067713,0.2615258918925964
Saúde,Aparência,0.259759503147999,0.0254167372303342,0.3369078362342792,0.0033335583923216317,0.259759503147999
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares","Assinaturas, Netflix/Serviços de Streaming/Assinaturas",0.2595024091462774,0.025567535334175193,0.3693353178834745,0.0012021602698244816,0.2595024091462774
Aparência,Livros,0.2554883628181054,0.028022012244570144,0.11225327226332446,0.34098875840987586,0.2554883628181054
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Cinema,0.2536469447216138,0.02921284026976606,0.32401039436241635,0.004859671376996939,0.2536469447216138
luz,Games,0.24886832083555727,0.03250349257299963,0.1855027363461984,0.11356853918348907,0.24886832083555727
Bugigangas,Games,0.24883125755681063,0.03253018187249828,0.1341372981331183,0.25453382160780913,0.24883125755681063
"relacionamentos, GP, civis","Assinaturas, Netflix/Serviços de Streaming/Assinaturas",-0.24864039557790785,0.03266791288845246,-0.265558573478728,0.022210118142705425,0.24864039557790785
Aparência,Games,0.24532894600064722,0.035136450270167575,0.042771126899140054,0.71747692106906,0.24532894600064722
supermercado,HQ,-0.2439911067030063,0.03617702372651535,-0.2999133503734597,0.009429237194128129,0.2439911067030063
Utilidades,Bugigangas,0.24387484048273503,0.03626865774618333,0.2212333998639417,0.058189638688119535,0.24387484048273503
"transporte, Uber/Táxi, ônibus",Utilidades,-0.24255603179401794,0.037321688186068236,-0.1372496753515696,0.24357645244633164,0.24255603179401794
